wdpaid|name|the_geom
165|Braulio Carrillo|0101000020E6100000757B417D480355C0409E7B35DE712440
167|Tortuguero|0101000020E6100000F5165BD13DD854C010691479AFF82440
169|Volcán Poás|0101000020E6100000E0699E3AAB0E55C010977A2F216F2440
170|Isla del Coco|0101000020E6100000CA2102A3FEC355C0A02A6A68B7301640
216|Bosencheve Buffer Zone|0101000020E61000008A11A773EA0859C088EA4377C66D3340
217|Cofre de Perote o Nauhcampatépetl|0101000020E6100000D6DDA1AFED4958C0403D407B5E7F3340
219|Lagunas de Chacahua|0101000020E61000005315D232146E58C068994EBD7E003040
336|Laguna de la Restinga|0101000020E6100000E6D1D6AD3C0750C0407BD6723DFA2540
180|Cotubanamá (Del Este)|0101000020E6100000E08ECD6C722B51C0D8E63623FB343240
181|Los Haitises|0101000020E6100000467FDCE4A26651C028053F197FFE3240
183|Cayambe Coca|0101000020E6100000DEE418EAEE7353C000F87A108BE3B1BF
184|Cotacachi Cayapas|0101000020E61000008247AA16C5AD53C0003FAA7B1314E33F
186|Yasuní|0101000020E610000026AE85E203EF52C0002799B82FF1F1BF
187|Galápagos|0101000020E61000002597480A3CAE56C000F4E6065CAAD0BF
188|Sangay|0101000020E610000098D47A49FD9253C080686C7FCC6600C0
189|Machalilla|0101000020E6100000D619F4D6962D54C0804112DC998CF6BF
190|Cotopaxi|0101000020E6100000D7729C319F9B53C00000AE389086E4BF
191|Galápagos Islands|0101000020E610000010D1EC6BE9AE56C00044EE940ED6C73F
230|Bonaire|0101000020E6100000A832E969130D51C0506C371537562840
406|Whitsunday Islands|0101000020E61000006C88F3CE3A9D6240C81FB862701E34C0
193|Tikal|0101000020E610000070C298F4ED6756C080663D7AD8383140
197|Tikal National Park|0101000020E6100000E03CD11B586756C098200725CC303140
198|Kaieteur National Park|0101000020E6100000A53CA3B7EBBE4DC0C073440068B21440
199|La Citadelle, Sans Souci, Ramiers|0101000020E61000001629880EDA0E52C0F8C4382ECC913340
200|La Tigra|0101000020E6100000E4DDDF19AEC755C0C0CCE3F6EC6B2C40
234|Cerro Saslaya|0101000020E61000002C47639D604455C0D09CA2022BAD2B40
258|Huascarán|0101000020E610000000D758BED15753C0D06301501BDC22C0
259|Cerros de Amotape|0101000020E61000009DB2EC8F4F2054C0C0C13ECFD90C10C0
202|Ocho Rios|0101000020E610000090239ED7F44653C07030EFD9C9773240
238|Soberania|0101000020E6100000B68809BFCEED53C0A0FD9F7CA7522240
240|Volcan Barú|0101000020E61000000C69E3D7A7A254C090C2DD8974A92140
407|Eungella|0101000020E61000002A1E24F77392624048F2F01FC40035C0
212|La Montaña Malinche o Matlalcuéyatl|0101000020E610000010C174C4D48258C0A0A7E04E743B3340
213|Iztaccíhuatl-Popocatépetl|0101000020E6100000FB88A07404AA58C0A0E57491F6393340
214|Pico de Orizaba|0101000020E6100000A1DE4B170A5158C060BA12F33F1A3340
220|Lagunas de Montebello|0101000020E610000026BD78C75FEF56C0302301EC611E3040
221|Constitución de 1857|0101000020E6100000FC91966EE7F75CC03C370097D70C4040
222|Lagunas de Zempoala Buffer Zone|0101000020E6100000942FA06348D358C00858476FE7133340
223|El Chico|0101000020E6100000B120A89229AE58C030DD726F6A323440
225|Insurgente José María Morelos|0101000020E610000033D351FF3B3F59C0B03E151958A43340
409|Hinchinbrook Island|0101000020E610000038745EFB8A4762401814B5D6455832C0
235|Volcán  Masaya|0101000020E61000005B379E8BDD8955C0804C1AD32EF82740
236|Darién|0101000020E610000006BB919D165F53C0E0434D2CA4751F40
241|Altos de Campana|0101000020E61000007AD56404A2FD53C02026BD9D34632140
243|Tinfunque|0101000020E61000005D01F83AAEEB4DC0086F5EAE5B1538C0
244|Teniente Agripino Enciso|0101000020E61000007421321E70D24EC00003E8ED8B1335C0
246|Cerro Cora|0101000020E6100000600F5AF535024CC0489DA6136CA836C0
245|Caazapa|0101000020E6100000229FE337AAD04BC0881463BC0D1C3AC0
255|Huayllay|0101000020E6100000985168C3FA1553C000FF7FDB14E525C0
256|de Calipuy|0101000020E6100000626B752B5C9353C000F672CD54B020C0
257|del Manu|0101000020E61000008E73F9C9FCDE51C0102CD098908528C0
280|Wia-Wia|0101000020E61000005010910F7B3D4BC080A86F99D3A51740
247|Ybycui|0101000020E6100000FF974F724F664CC0089F909D770F3AC0
249|Pacaya Samiria|0101000020E61000000AFAFC9EA4BD52C0406FFE1F5A3C15C0
337|Cueva de la Quebrada del Toro|0101000020E6100000D43E47437F4451C060BF9A03048B2540
250|de Paracas|0101000020E6100000BC270F8A831053C0002DE145E9712CC0
251|"Pampa Galeras Barbara D'Achille
"|0101000020E6100000CAC354CF719752C0B08EF2FE85672DC0
252|de Junín|0101000020E6100000C05471774B0753C040FE3D1DB40426C0
253|del Titicaca|0101000020E61000009E9CF538E47B51C0903647CF8D772FC0
254|de Lachay|0101000020E6100000A497F9ECEB5653C0406F453CBBC026C0
260|Tingo María|0101000020E61000005EBAD461380053C0E0B1FE5F0DBF22C0
261|Cutervo|0101000020E610000099B869D2F0B253C060784F9725FB18C0
262|Machupicchu|0101000020E6100000A69052945B1F52C080DAE38FE6772AC0
263|Barro Colorado|0101000020E6100000971C8E7A85F653C0707F28CBA2512240
264|Chacamarca|0101000020E6100000467453139AFE52C0F0E157CD6F6D26C0
266|de Calipuy|0101000020E61000005E89A9AD5B9753C0C06C41BC1C1F21C0
307|María Lionza|0101000020E61000003281EA1B373B51C03054C6BFCF082440
276|Sipaliwini|0101000020E6100000B8E3367579024CC0C0888043A8520040
277|Brinck-heuvel|0101000020E61000005D41AE782FAC4BC080A2B437F8821440
279|Brownsberg|0101000020E6100000167A4E6DB6984BC0E09E93DE37AE1340
410|Cape Melville (Cape York Peninsula Aboriginal Land)|0101000020E61000000644C0DB380F6240701BD380B2C72CC0
281|Coppename Monding|0101000020E6100000E2129A1041F64BC040A453573EBB1740
282|Galibi|0101000020E61000000970F96138014BC04020D26F5F271740
290|Morne L'Enfer Reserve|0101000020E610000047A429C24FCD4EC080FF380BC2502440
309|Cerro Santa Ana|0101000020E6100000C58C71EA337B51C0F01DC4CE14922740
311|Tetas de Maria Guevara|0101000020E6100000444020182E0850C0504A416B89DA2540
313|Canaima|0101000020E6100000D251C396D5044FC0A0B1BFEC9E3C1640
338|Cerro El Copey|0101000020E610000068D0DD17F6F14FC0C0BC3AC780FC2540
421|Girraween|0101000020E6100000B0B77A32E7FD62406824B49E07D23CC0
423|Mount Barney|0101000020E61000003499680281156340D898C353E7483CC0
359|Kinchega|0101000020E6100000D128C85B97CA6140C4AB26C7DE3F40C0
315|Aguaro-Guariquito|0101000020E61000008AAE564BCFA750C0B0662C9ACE862040
317|Yapacana|0101000020E6100000871B8A62B8B350C0800F62670A7D0E40
360|Mount Kaputar|0101000020E61000009147C74591C46240688B4FE0A14E3EC0
361|Guy Fawkes River|0101000020E61000008708B57E00086340D043FB7E08FC3DC0
362|New England|0101000020E61000003A68394A080F6340E893C0326B983EC0
318|Perijá|0101000020E61000007087C23EDA3D52C0A0B988EFC47C2340
363|Myall Lakes|0101000020E61000003DFBE1A4A20963404CF49C01294140C0
365|Warrumbungle|0101000020E61000000ABC7AB40C9F624060709B09C33F3FC0
366|Gibraltar Range|0101000020E6100000B80BCD33830B6340B8F7898C19863DC0
321|Sierra Nevada|0101000020E6100000A81E16A4B0BC51C0301B9E5E290B2140
322|El Tamá|0101000020E610000008219079F50352C060EEB1F4A14B1D40
331|Laguna de Tacarigua|0101000020E6100000C0ADF075D97450C0B099F2BEFD762440
368|Royal|0101000020E6100000A08292C5DAE0624068C8F6EF540E41C0
323|Henri Pittier|0101000020E61000009AE53E2183E850C0F0BD8DBBABDB2440
324|Mochima|0101000020E6100000F6B93E654D2250C0102FC6163B9E2440
